PLAYER_ID	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
1522	45	4	449.0	51	157	0.32484	1	11	0.090909	27	48	0.5625	27	70	97	39	22	11	42	63	130
76206	874		25549.0	4961	10738	0.462004				3042	3998	0.76088			7119	1237				2489	12964
2430	861	775	26904.0	5847	11221	0.521076	1	14	0.071428	2281	3158	0.722292	2037	6155	8192	1928	765	346	1824	2612	13976
2414	83	23	1117.0	96	228	0.421052	0	1	0.0	66	89	0.741573	99	179	278	64	14	46	70	200	258
76207	75			122	414	0.294685				98	146	0.671232				53				158	342
1953	17	6	167.0	28	63	0.444444	0	3	0.0	6	11	0.545454	14	26	40	10	6	3	6	9	62
76209	24			26	74	0.351351				12	18	0.666666			24	4				34	64
76210	285		5162.0	1187	3200	0.370937				813	996	0.816265			831	610				922	3187
2547	893	881	31935.0	6209	12581	0.493521	305	910	0.335164	4466	5591	0.798783	1927	5665	7592	1795	730	932	1807	2159	17189
76211	4		48.0	12	22	0.545454				2	5	0.4	8	8	16	3	0	0	3	5	26
76212	13		125.0	24	52	0.461538	0	0	0.0	8	13	0.615384	19	20	39	2	4	2	8	25	56
76213	366	0	7046.0	1096	2058	0.532555	6	11		623	860	0.724418	676	1033	1709	591	142	111	474	1102	2821
1628449	71	0	718.0	128	280	0.457142	33	111	0.297297	74	95	0.778947	93	152	245	21	22	62	24	106	363
2257	44	1	275.0	14	38	0.368421	0	0	0.0	15	27	0.555555	22	35	57	6	4	17	14	40	43
76214	195		3355.0	561	1653	0.339382				641	908	0.705947			553	393				753	1763
1898	142	0	1382.0	163	403	0.404466	2	11	0.181818	96	125	0.768	90	182	272	29	42	45	43	155	424
1477	873	644	24057.0	1945	4761	0.408527	818	2082	0.392891	582	1013	0.574531	469	1959	2428	1089	712	336	646	1930	5290
1763	507	85	6505.0	544	1192	0.456375	14	68	0.205882	217	313	0.69329	506	554	1060	250	325	138	168	752	1319
1628968	3	0	10.0	1	4	0.25	0	1	0.0	0	0	0.0	0	1	1	0	0	1	0	0	2
194	461	87	8349.0	1247	2628	0.474505	67	211	0.317535	384	466	0.824034	299	722	1021	840	288	106	478	711	2945
76217	511	349	14098.0	2127	4702	0.45236	32	106	0.301886	1278	1708	0.748243	1192	2653	3845	1075	263	909	978	1553	5564
1085	17	0	68.0	7	11	0.636363	0	1	0.0	1	2	0.5	1	4	5	9	3	0	2	3	15
1629065	37	10	827.0	108	264	0.40909	31	90	0.344444	24	29	0.827586	18	76	94	105	36	5	49	83	271
76219	243		2171.0	298	764	0.390052				106	201	0.527363			791	162				509	702
671	30	2	195.0	30	86	0.348837	6	24	0.25	13	26	0.5	12	13	25	16	13	5	22	19	79
76221	5		40.0	3	12	0.25				0	0	0.0	0	2	2	7	0	0	6	5	6
76222	327		7723.0	1165	2817	0.41356				454	681	0.666666	57	266	533	986	184	29	20	651	2784
76223	6		25.0	7	13	0.538461				5	11	0.454545	3	2	5	2	3	0		2	19
1863	652	34	12965.0	2076	4980	0.416867	384	1104	0.347826	1255	1433	0.875785	275	602	877	2092	390	34	756	659	5791
76224	109		0.0	414	1034	0.400386				277	362	0.765193			220	209				426	1105
76225	177		3035.0	598	1375	0.434909	0	4		282	360	0.783333	135	228	363	207	125	42	284	328	1478
200841	23	5	199.0	11	39	0.282051	2	13	0.153846	2	6	0.333333	3	20	23	9	5	2	9	32	26
76226	187		2853.0	487	1045	0.466028				167	244	0.684426	36	148	291	408	74	6		323	1141
202342	17	1	121.0	13	49	0.265306	3	14	0.214285	1	2	0.5	7	12	19	9	1	1	4	9	30
76227	44		350.0	48	117	0.410256				48	67	0.716417			92	20				37	144
76228	39	0	331.0	54	103	0.524271	0	1	0.0	29	48	0.604166	31	34	65	11	12	5	28	37	137
76229	99		1139.0	184	440	0.418181	1	1		71	101	0.70297	39	112	151	74	24	7	80	125	440
202340	556	478	15737.0	2645	6063	0.436252	710	1963	0.361691	555	713	0.778401	355	1276	1631	985	566	113	789	1223	6555
76233	742		22799.0	3927	8763	0.448134				1363	1623	0.839802	198	643	2354	2533	209	65		2363	9217
76230	110	6	910.0	127	305	0.416393	0	4	0.0	93	159	0.584905	42	77	119	55	46	34	87	151	347
76231	600	123	10192.0	1222	2780	0.439568	101	346	0.291907	586	803	0.729763	317	781	1098	1147	940	182	682	1220	3131
76232	46			36	134	0.268656				15	38	0.394736				36				51	87
2214	173	13	2013.0	218	457	0.477024	2	14	0.142857	45	88	0.511363	223	368	591	93	25	47	113	200	483
762	832	484	19530.0	2713	5935	0.457118	4	39	0.102564	1322	1847	0.715755	1743	3525	5268	573	532	2119	1059	2567	6752
1628396	48	2	437.0	81	136	0.595588	0	1	0.0	22	35	0.628571	71	106	177	11	12	17	21	82	184
1361	36	0	249.0	25	58	0.431034	0	0	0.0	9	13	0.692307	26	42	68	7	5	5	9	34	59
66	53	0	369.0	54	120	0.45	0	0	0.0	23	41	0.560975	38	41	79	8	17	8	26	71	131
1765	22	0	175.0	19	40	0.475	0	0	0.0	8	12	0.666666	25	26	51	7	4	2	15	33	46
1920	8	0	61.0	4	21	0.190476	0	0	0.0	0	0	0.0	12	10	22	0	1	0	3	13	8
76237	130	7	1429.0	331	727	0.455295	9	39	0.230769	163	219	0.744292	114	139	253	96	83	17	125	193	834
1882	1058	868	34906.0	6599	13185	0.500492	2	21	0.095238	3627	4929	0.735849	3304	5736	9040	2184	940	1828	2060	3115	16827
210	724	480	21547.0	3908	8720	0.448165	394	1110	0.354954	1784	2043	0.873225	425	1749	2174	4407	1142	226	1419	1325	9994
76238	338		6576.0	887	2581	0.343665				681	1044	0.652298			1944	699				1313	2455
76239	72	5	856.0	152	360	0.422222	0	1	0.0	87	120	0.725	87	119	206	52	32	30	58	98	391
76240	5		14.0	1	6	0.166666				3	4	0.75			9	1				4	5
1629714	3	0	11.0	0	0	0.0	0	0	0.0	0	0	0.0	0	5	5	1	0	2	1	1	0
76241	30		359.0	36	142	0.253521				38	48	0.791666			39	33				48	110
76242	586	89	10613.0	1578	3880	0.406701	150	492		775	934	0.829764	310	720	1030	1851	548	59	854	1091	4081
76243	788		18409.0	3912	10211	0.383116				2801	3484	0.80396			2122	2892				2164	10625
1629649	9	0	53.0	6	22	0.272727	1	9	0.111111	4	5	0.8	2	3	5	4	0	1	2	3	17
160	102	6	940.0	108	293	0.3686	22	74	0.297297	61	96	0.635416	38	58	96	41	24	13	47	68	299
2452	100	43	1944.0	214	622	0.344051	120	360	0.333333	98	131	0.748091	27	154	181	215	56	7	83	112	646
76245	16		136.0	13	43	0.302325				14	25	0.56			31	6				15	40
76246	11		52.0	5	11	0.454545				0	0	0.0			5	2				5	10
76247	681	285	12499.0	1898	4060	0.467487	0	4	0.0	803	1278	0.628325	1061	1925	2986	616	305	750	676	1464	4599
201147	814	310	18739.0	2682	6310	0.425039	503	1773	0.283699	1225	1717	0.713453	611	1668	2279	1248	1019	222	948	1761	7092
2249	54	1	465.0	35	94	0.37234	8	32	0.25	11	28	0.392857	15	35	50	56	19	2	32	34	89
76248	703	9	15936.0	1785	3983	0.448154	1	13		528	925	0.57081	1660	2798	4458	1038	556	510	332	1536	4099
76249	501	250	12892.0	2497	5437	0.45926	30	121		947	1149	0.824194	335	636	971	920	480	249	706	835	5971
200758	502	304	11539.0	1554	3169	0.490375	90	355	0.253521	742	1099	0.675159	451	976	1427	828	622	120	390	545	3940
2056	342	214	6192.0	1012	2034	0.497541	1	6	0.166666	427	609	0.701149	563	764	1327	179	69	134	274	730	2452
76250	438		7616.0	1765	5192	0.339946				1849	2251	0.821412			903	1138				1127	5379
783	731	404	16279.0	2873	5538	0.518779	55	170	0.323529	1501	2028	0.740138	1007	2403	3410	1384	644	285	1372	2298	7302
76252	849	135	21257.0	4801	10099	0.475393	40	164		1875	2216	0.846119	910	2085	2995	2066	685	220	1169	1969	11517
76253	926		30878.0	4181	9463	0.441826				2650	3824	0.692991	257	376	11054	2553	69	36		3375	11012
1628969	132	65	3661.0	382	844	0.452606	134	410	0.326829	163	202	0.80693	99	360	459	250	201	65	116	308	1061
1628970	130	74	3211.0	477	1058	0.45085	141	418	0.33732	128	163	0.785276	135	459	594	184	85	87	128	219	1223
76254	58			223	870	0.256321				121	193	0.626943				60				115	567
76255	12			14	49	0.285714				6	7	0.857142				1				16	34
1628515	39	0	559.0	55	138	0.39855	11	34	0.323529	15	26	0.576923	5	69	74	87	11	2	31	66	136
76256	126		2626.0	590	1346	0.438335				318	385	0.825974	74	105	498	225	35	9		272	1498
1629052	16	0	120.0	12	32	0.375	3	13	0.230769	5	6	0.833333	8	14	22	4	4	1	7	17	32
76257	648	54	13277.0	1977	4296	0.460195	16	56		1152	1444	0.797783	893	1720	2613	2098	490	40	800	1337	5122
76258	11		84.0	13	34	0.382352				2	3	0.666666			15	12				10	28
76259	7		16.0	3	10	0.3				3	4	0.75	1	3	4	2	1	0	1	3	9
76260	38	2	248.0	26	52	0.5	0	0	0.0	11	21	0.523809	12	41	53	7	4	12	22	57	63
76261	2		9.0	2	3	0.666666	0	0	0.0	0	0	0.0	0	2	2	3	1	0	2	2	4
