PLAYER_ID	POSITION	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
1629680	Guard-Forward	43	10	863.0	72	182	0.395604	44	117	0.376068	23	36	0.638888	22	45	67	53	64	35	39	100	211
201229	Forward	704	101	13843.0	1442	3469	0.415681	844	2263	0.372956	642	834	0.769784	537	1833	2370	638	261	212	448	1149	4370
1626157	Center-Forward	356	356	12236.0	3049	5715	0.533508	501	1269	0.394799	1469	1765	0.832294	1114	3072	4186	976	276	521	896	1175	8068
1629018	Guard-Forward	53	3	739.0	99	253	0.391304	55	148	0.371621	17	23	0.73913	15	52	67	37	21	11	15	49	270
1629019	Guard	84	4	1705.0	269	603	0.446102	67	178	0.376404	210	262	0.801526	35	188	223	143	30	18	136	141	815
200782	Forward	632	456	18488.0	1696	4008	0.423153	655	1814	0.36108	629	840	0.748809	993	2689	3682	907	773	190	641	1566	4676
1629730	Guard	12	0	74.0	8	19	0.421052	0	6	0.0	3	5	0.6	2	9	11	2	1	0	3	7	19
202323	Guard-Forward	705	295	18939.0	2748	6331	0.434054	270	917	0.294438	1058	1353	0.781966	388	2890	3278	2462	532	184	1267	1380	6824
1626167	Center-Forward	321	288	9053.0	1567	3200	0.489687	234	653	0.358346	724	942	0.768577	451	1665	2116	396	227	654	420	907	4092
202685	Center	537	509	13542.0	2627	4675	0.561925	72	197	0.365482	1301	1663	0.782321	1394	3262	4656	484	205	562	823	1502	6627
1627756	Guard	164	37	3437.0	469	1173	0.399829	252	679	0.371134	57	74	0.77027	63	538	601	341	115	23	168	311	1247
1627832	Guard	218	69	5046.0	760	1852	0.410367	342	866	0.394919	324	389	0.832904	68	484	552	870	221	55	262	373	2186
1629020	Forward	26	0	111.0	14	26	0.538461	0	1	0.0	6	10	0.6	10	21	31	5	9	2	15	14	34
1629216	Guard	2	0	19.0	3	12	0.25	3	10	0.3	0	0	0.0	0	1	1	1	1	0	0	1	9
203943	Forward	328	171	5642.0	635	1384	0.458815	91	296	0.307432	286	413	0.692493	467	1266	1733	254	137	136	263	604	1647
202696	Center	576	515	17378.0	3989	8015	0.497691	244	727	0.335625	934	1254	0.744816	1566	4305	5871	1449	496	543	999	1465	9156
1629731	Forward-Center	9	0	50.0	7	10	0.7	2	3	0.666666	0	1	0.0	2	13	15	1	2	3	3	7	16
1629021	Forward-Center	65	9	888.0	168	336	0.5	44	133	0.330827	79	96	0.822916	51	163	214	52	26	26	83	140	459
203079	Guard	412	211	11670.0	2075	5037	0.411951	568	1630	0.348466	704	1018	0.691552	164	931	1095	1146	387	109	748	797	5422
202689	Guard	647	602	21953.0	4475	10671	0.41936	1427	3960	0.360353	2558	3056	0.837041	379	2104	2483	3520	843	258	1408	978	12935
1629022	Guard-Forward	59	1	668.0	110	257	0.428015	29	70	0.414285	40	55	0.727272	14	86	100	38	25	10	27	57	289
202322	Guard	573	561	20544.0	3942	9107	0.432853	539	1663	0.324113	2456	3144	0.78117	330	2153	2483	5282	976	396	2191	1289	10879
1628476	Guard	39	1	369.0	25	61	0.409836	16	38	0.421052	13	15	0.866666	4	27	31	38	11	3	6	26	79
202954	Guard	85	0	1258.0	156	354	0.440677	42	111	0.378378	106	118	0.898305	16	122	138	186	46	13	74	123	460
203933	Forward	310	214	8810.0	1916	3827	0.500653	212	607	0.349258	597	769	0.776332	425	834	1259	361	303	156	311	718	4641
1629023	Forward	44	43	1319.0	201	422	0.476303	59	148	0.398648	71	108	0.657407	36	200	236	91	39	36	70	121	532
1629139	Guard-Forward	22	0	201.0	18	57	0.315789	3	18	0.166666	7	12	0.583333	5	32	37	8	4	2	7	13	46
1629682	Guard	8	0	71.0	10	27	0.37037	2	15	0.133333	6	6	1.0	0	7	7	10	5	2	8	10	28
1628778	Guard	4	0	22.0	0	7	0.0	0	3	0.0	1	2	0.5	0	3	3	4	1	0	0	1	1
201566	Guard	863	846	29838.0	7051	16190	0.435515	963	3170	0.303785	4901	6119	0.800947	1442	4654	6096	7207	1511	265	3508	2213	19966
